#SampleID	Metaphlan2_Analysis
	44
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__40CM-2-53-6|f__RBG-16-50-20	29
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__40CM-2-53-6|f__RBG-16-50-20|g__RBG-16-50-20	29
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__40CM-2-53-6|f__RBG-16-50-20|g__RBG-16-50-20|s__	29
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__B26-1	53
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__B26-1|f__UBA233	53
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__B26-1|f__UBA233|g__	19
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__B26-1|f__UBA233|g__|s__	19
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__B26-1|f__UBA233|g__20-14-0-80-47-9	13
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__B26-1|f__UBA233|g__20-14-0-80-47-9|s__	13
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__B26-1|f__UBA233|g__AD8-1	17
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__B26-1|f__UBA233|g__AD8-1|s__	17
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__B26-1|f__UBA233|g__UBA11855	4
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__B26-1|f__UBA233|g__UBA11855|s__	4
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__TCS64	9
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__TCS64|f__TCS64	9
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__TCS64|f__TCS64|g__RBG-16-57-9	3
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__TCS64|f__TCS64|g__RBG-16-57-9|s__	3
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__TCS64|f__TCS64|g__UBA8941	6
d__Archaea|p__Crenarchaeota|c__Bathyarchaeia|o__TCS64|f__TCS64|g__UBA8941|s__	6
d__Archaea|p__Crenarchaeota|c__Methanomethylicia	26
d__Archaea|p__Crenarchaeota|c__Methanomethylicia|o__Methanomethyliales	26
d__Archaea|p__Crenarchaeota|c__Methanomethylicia|o__Methanomethyliales|f__Methanomethyliaceae	26
d__Archaea|p__Crenarchaeota|c__Methanomethylicia|o__Methanomethyliales|f__Methanomethyliaceae|g__	22
d__Archaea|p__Crenarchaeota|c__Methanomethylicia|o__Methanomethyliales|f__Methanomethyliaceae|g__|s__	22
d__Archaea|p__Crenarchaeota|c__Methanomethylicia|o__Methanomethyliales|f__Methanomethyliaceae|g__Methanomethylicus	4
d__Archaea|p__Crenarchaeota|c__Methanomethylicia|o__Methanomethyliales|f__Methanomethyliaceae|g__Methanomethylicus|s__GCA_001717035.1	4
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria	340
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__	84
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__|f__	84
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__|f__|g__	84
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__|f__|g__|s__	84
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__ex4484-205	1
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__ex4484-205|f__	1
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__ex4484-205|f__|g__	1
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__ex4484-205|f__|g__|s__	1
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	248
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__	6
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__|g__	6
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__|g__|s__	6
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae	39
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__	8
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__|s__	8
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__CSP1-1	4
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__CSP1-1|s__	1
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__CSP1-1|s__GCA_001443365.1	3
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosoarchaeum	1
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosoarchaeum|s__	1
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosopumilus	3
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosopumilus|s__	3
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosotalea	21
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosotalea|s__	15
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosotalea|s__GCA_001917505.1	1
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosotalea|s__GCA_001920395.1	3
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosotalea|s__GCF_900167955.1	2
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosotenuis	2
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrosopumilaceae|g__Nitrosotenuis|s__	2
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae	172
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__	93
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__|s__	93
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrosocosmicus	1
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrosocosmicus|s__GCA_000802205.2	1
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrososphaera	30
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Nitrososphaera|s__	30
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__UBA10452	30
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__UBA10452|s__	19
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__UBA10452|s__UBA10899	11
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__UBA11057	18
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__UBA11057|s__	18
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__UBA141	29
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__UBA141|g__	29
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__UBA141|g__|s__	29
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__UBA213	2
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__UBA213|g__	2
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__UBA213|g__|s__	2
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__UBA164	7
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__UBA164|f__	7
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__UBA164|f__|g__	7
d__Archaea|p__Crenarchaeota|c__Nitrososphaeria|o__UBA164|f__|g__|s__	7
d__Archaea|p__Crenarchaeota|c__Thermoprotei	4
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__|f__	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__|f__|g__	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__|f__|g__|s__	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Geoarchaeales	3
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Geoarchaeales|f__Geoarchaeaceae	3
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Geoarchaeales|f__Geoarchaeaceae|g__	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Geoarchaeales|f__Geoarchaeaceae|g__|s__	1
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Geoarchaeales|f__Geoarchaeaceae|g__AAA261-N23	2
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Geoarchaeales|f__Geoarchaeaceae|g__AAA261-N23|s__GCA_000375685.1	2
d__Archaea|p__Euryarchaeota	23
d__Archaea|p__Euryarchaeota|c__Methanobacteria	23
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	23
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	23
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__	14
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__|s__	14
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium_B	4
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium_B|s__	4
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium_C	1
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium_C|s__	1
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__UBA419	4
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__UBA419|s__	4
d__Archaea|p__Hadarchaeota	5
d__Archaea|p__Hadarchaeota|c__Hadarchaeia	5
d__Archaea|p__Hadarchaeota|c__Hadarchaeia|o__Hadarchaeales	5
d__Archaea|p__Hadarchaeota|c__Hadarchaeia|o__Hadarchaeales|f__	2
d__Archaea|p__Hadarchaeota|c__Hadarchaeia|o__Hadarchaeales|f__|g__	2
d__Archaea|p__Hadarchaeota|c__Hadarchaeia|o__Hadarchaeales|f__|g__|s__	2
d__Archaea|p__Hadarchaeota|c__Hadarchaeia|o__Hadarchaeales|f__Hadarchaeaceae	3
d__Archaea|p__Hadarchaeota|c__Hadarchaeia|o__Hadarchaeales|f__Hadarchaeaceae|g__	3
d__Archaea|p__Hadarchaeota|c__Hadarchaeia|o__Hadarchaeales|f__Hadarchaeaceae|g__|s__	3
d__Archaea|p__Halobacteriota	219
d__Archaea|p__Halobacteriota|c__Bog-38	88
d__Archaea|p__Halobacteriota|c__Bog-38|o__Bog-38	88
d__Archaea|p__Halobacteriota|c__Bog-38|o__Bog-38|f__Bog-38	88
d__Archaea|p__Halobacteriota|c__Bog-38|o__Bog-38|f__Bog-38|g__	1
d__Archaea|p__Halobacteriota|c__Bog-38|o__Bog-38|f__Bog-38|g__|s__	1
d__Archaea|p__Halobacteriota|c__Bog-38|o__Bog-38|f__Bog-38|g__Bog-38	87
d__Archaea|p__Halobacteriota|c__Bog-38|o__Bog-38|f__Bog-38|g__Bog-38|s__	20
d__Archaea|p__Halobacteriota|c__Bog-38|o__Bog-38|f__Bog-38|g__Bog-38|s__Bog-38 sp003139855	19
d__Archaea|p__Halobacteriota|c__Bog-38|o__Bog-38|f__Bog-38|g__Bog-38|s__Bog-38 sp003158275	5
d__Archaea|p__Halobacteriota|c__Bog-38|o__Bog-38|f__Bog-38|g__Bog-38|s__Bog-38 sp003162175	30
d__Archaea|p__Halobacteriota|c__Bog-38|o__Bog-38|f__Bog-38|g__Bog-38|s__Bog-38 sp003170935	13
d__Archaea|p__Halobacteriota|c__Halobacteria	5
d__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales	5
d__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae	2
d__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus	2
d__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus|s__	2
d__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae	1
d__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__	1
d__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__|s__	1
d__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloferacaceae	2
d__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloferacaceae|g__Halogranum	1
d__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloferacaceae|g__Halogranum|s__	1
d__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloferacaceae|g__Halolamina	1
d__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloferacaceae|g__Halolamina|s__	1
d__Archaea|p__Halobacteriota|c__Methanocellia	6
d__Archaea|p__Halobacteriota|c__Methanocellia|o__Methanocellales	6
d__Archaea|p__Halobacteriota|c__Methanocellia|o__Methanocellales|f__Methanocellaceae	6
d__Archaea|p__Halobacteriota|c__Methanocellia|o__Methanocellales|f__Methanocellaceae|g__Methanocella	1
d__Archaea|p__Halobacteriota|c__Methanocellia|o__Methanocellales|f__Methanocellaceae|g__Methanocella_A	5
d__Archaea|p__Halobacteriota|c__Methanocellia|o__Methanocellales|f__Methanocellaceae|g__Methanocella_A|s__	5
d__Archaea|p__Halobacteriota|c__Methanocellia|o__Methanocellales|f__Methanocellaceae|g__Methanocella|s__	1
d__Archaea|p__Halobacteriota|c__Methanomicrobia	60
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales	60
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__	9
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__|g__	9
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__|g__|s__	9
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae	2
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__	2
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__|s__	2
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoculleaceae	1
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoculleaceae|g__	1
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoculleaceae|g__|s__	1
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae	12
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__	12
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__|s__	12
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae	35
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__	5
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__|s__	5
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula	17
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__	15
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Methanoregula sp003141335	1
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Methanoregula sp003154335	1
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__MVRE01	3
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__MVRE01|s__	3
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__SD8	3
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__SD8|s__	3
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__UBA9949	7
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__UBA9949|s__	7
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae	1
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__	1
d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__|s__	1
d__Archaea|p__Halobacteriota|c__Methanosarcinia	38
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales	22
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales|f__HR1	2
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales|f__HR1|g__HR1	1
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales|f__HR1|g__HR1|s__	1
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales|f__HR1|g__UBA7939	1
d__Archaea|p__Halobacteriota|c__Methanosarcinia|o__Methanosarcinales|f__HR1|g__UBA7939|s__	1
