uid,analyte,analyteUnits,sampleType,qaReferenceID,analyteKnownValue,analyteObservedValue,analyteAbsoluteError,analyteStandardDeviation,analyteMetricsCount,qaReportingStartDate,qaReportingEndDate,laboratoryName,instrument,testMethod,method,dataQF,publicationDate
a732c28b-430c-4852-853c-a291483fd514,carbonPercent,percent,soil,UWSIF-46-Soil3,1.13,1.13,0.002,0.052,164,2017-01-01,2017-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
79f6c236-3339-403f-abe1-da568e1f9291,d13C,permill,soil,UWSIF-46-Soil3,-23.53,-23.57,0.03,0.158,211,2019-01-01,2019-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
640774f2-9e69-4587-b5aa-2da54f845dd5,d13C,permill,soil,UWSIF-45-Soil2,-26.9,-26.69,0.211,0.114,288,2016-01-01,2016-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
6dd3ef0e-0aac-4d10-93d9-98578a685c33,nitrogenPercent,percent,vegetation,UWSIF-05-Alfalfa,3.25,3.25,0,0.07,753,2019-01-01,2019-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
d8858039-a82c-47f1-a947-8e127821aaad,d13C,permill,soil,UWSIF-45-Soil2,-26.9,-26.68,0.22,0.136,214,2015-01-01,2015-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
31a1250d-5748-4f23-8097-06ad787696b3,d15N,permill,vegetation,UWSIF-05-Alfalfa,0.19,0.06,0.13,0.02,525,2017-01-01,2017-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
33da35af-8c7f-466d-924d-944a72e9012f,d13C,permill,vegetation,UWSIF-05-Alfalfa,-27.48,-27.5,0.02,0.1,536,2015-01-01,2015-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
014ab03e-0c24-4c35-80c6-9e69e5de9bd2,nitrogenPercent,percent,vegetation,UWSIF-05-Alfalfa,3.25,3.26,0.011,0.058,525,2017-01-01,2017-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
37fcca68-d73b-4874-9049-f5d5cf77b9e0,nitrogenPercent,percent,soil,UWSIF-45-Soil2,0.13,0.13,0.004,0.004,387,2017-01-01,2017-10-02,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
a08f2b10-1fe2-436a-bec5-4af486c782c8,nitrogenPercent,percent,vegetation,UWSIF-05-Alfalfa,3.25,3.26,0.011,0.053,536,2015-01-01,2015-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
55d3679f-9fec-4afe-878f-e0a3e05d619e,d15N,permill,vegetation,UWSIF-05-Alfalfa,0.19,0.09,0.1,0.015,1189,2018-01-01,2018-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
927bb6ff-4c68-4fb4-aac0-45a2f7f0a738,d13C,permill,vegetation,UWSIF-05-Alfalfa,-27.48,-27.59,0.11,0.08,1189,2018-01-01,2018-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
826271ec-c10d-4729-b4d3-f3bbacb9b12b,d15N,permill,soil,UWSIF-45-Soil2,7.17,7,0.173,0.166,214,2015-01-01,2015-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
fe346284-a05d-4011-91fe-a178e856b8b6,carbonPercent,percent,vegetation,UWSIF-05-Alfalfa,42.61,42.93,0.325,0.57,525,2017-01-01,2017-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
782ef504-2e5b-4c9c-a3d5-2077b206cf7c,carbonPercent,percent,vegetation,UWSIF-05-Alfalfa,42.61,43.05,0.444,0.692,1189,2018-01-01,2018-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
4c263a12-fa15-4ad0-a8ed-f59bbe132d78,d15N,permill,soil,UWSIF-45-Soil2,7.17,6.95,0.22,0.154,387,2017-01-01,2017-10-02,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
7d5697b4-3a96-4abd-ae8f-3e76400a7d5a,nitrogenPercent,percent,soil,UWSIF-45-Soil2,0.13,0.13,0.005,0.005,214,2015-01-01,2015-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
1bdad957-b006-494a-835c-40ef92123635,d15N,permill,vegetation,UWSIF-05-Alfalfa,0.19,0.15,0.06,0.13,816,2019-01-01,2019-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20220516T155229Z
