"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"ntr_internalLabBlanks","extractionEndDate","The end date-time for an extraction event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"ntr_internalLabBlanks","kclReferenceID","Identifier for a potassium chloride (KCl) blank reference","string",NA,"basic","asIs","Y",""
"ntr_internalLabBlanks","kclBlank1ID","Identifier for the first potassium chloride (KCl) blank reference sample","string",NA,"basic","asIs","N",""
"ntr_internalLabBlanks","kclBlank1Code","Barcode of the first potassium chloride (KCl) blank reference sample","string",NA,"basic","asIs","N",""
"ntr_internalLabBlanks","kclBlank2ID","Identifier for the second potassium chloride (KCl) blank reference sample","string",NA,"basic","asIs","N",""
"ntr_internalLabBlanks","kclBlank2Code","Barcode of the second potassium chloride (KCl) blank reference sample","string",NA,"basic","asIs","N",""
"ntr_internalLabBlanks","kclBlank3ID","Identifier for the third potassium chloride (KCl) blank reference sample","string",NA,"basic","asIs","N",""
"ntr_internalLabBlanks","kclBlank3Code","Barcode of the third potassium chloride (KCl) blank reference sample","string",NA,"basic","asIs","N",""
"ntr_internalLabBlanks","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"ntr_internalLabBlanks","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"ntr_internalLabBlanks","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"ntr_internalLabBlanks","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"sls_bgcSubsampling","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"sls_bgcSubsampling","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"sls_bgcSubsampling","siteID","NEON site code","string",NA,"basic","asIs","N",""
"sls_bgcSubsampling","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"sls_bgcSubsampling","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"sls_bgcSubsampling","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"sls_bgcSubsampling","samplingProtocolVersion","The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","LOV","N","sls.samplingProtocolVersion"
"sls_bgcSubsampling","horizon","Organic or mineral soil","string",NA,"basic","LOV","N","sls.horizon"
"sls_bgcSubsampling","ovenStartDate","The date and time a sample was placed in the drying oven","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"sls_bgcSubsampling","ovenEndDate","The date and time a sample was removed from the drying oven","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"sls_bgcSubsampling","sampleID","Identifier for sample","string",NA,"basic","asIs","Y",""
"sls_bgcSubsampling","sampleCode","Barcode of a sample","string",NA,"basic","asIs","Y",""
"sls_bgcSubsampling","cnSampleID","Identifier for a carbon-nitrogen sample","string",NA,"basic","asIs","N",""
"sls_bgcSubsampling","cnSampleCode","Barcode of a carbon-nitrogen sample","string",NA,"basic","asIs","N",""
"sls_bgcSubsampling","bgcArchiveID","Identifier for a biogeochemistry archive sample","string",NA,"basic","asIs","N",""
"sls_bgcSubsampling","bgcArchiveCode","Barcode of a biogeochemistry archive sample","string",NA,"basic","asIs","N",""
"sls_bgcSubsampling","bgcArchiveMass","Mass of a biogeochemistry archive sample","real","gram","basic","*.#(round)","N",""
"sls_bgcSubsampling","toxicodendronPossible","Indicator for whether a sample may contain Toxicodendron spp","string",NA,"basic","LOV","N","cfc.toxicodendron"
"sls_bgcSubsampling","sampleCondition","Condition of a sample","string",NA,"basic","LOV","N","sls.sampleCondition"
"sls_bgcSubsampling","bgcRemarks","Remarks from biogeochemistry subsample processing","string",NA,"basic","asIs","N",""
"sls_bgcSubsampling","processedBy","An identifier for the technician who processed the sample(s)","string",NA,"basic","asIs","N",""
"sls_bgcSubsampling","bgcDataQF","Quality flag for biogeochemistry sample","string",NA,"basic","asIs","N",""
"sls_bgcSubsampling","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"sls_bgcSubsampling","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"sls_metagenomicsPooling","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"sls_metagenomicsPooling","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"sls_metagenomicsPooling","siteID","NEON site code","string",NA,"basic","asIs","N",""
"sls_metagenomicsPooling","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"sls_metagenomicsPooling","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"sls_metagenomicsPooling","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"sls_metagenomicsPooling","eventID","An identifier for the set of information associated with the event, which includes information about the place and time of the event","string",NA,"basic","asIs","N",""
"sls_metagenomicsPooling","samplingProtocolVersion","The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","LOV","N","sls.samplingProtocolVersion"
"sls_metagenomicsPooling","genomicsPooledIDList","List of sample identifiers pooled for a genomics sample","string",NA,"basic","asIs","N",""
"sls_metagenomicsPooling","genomicsSampleID","Identifier for a genomics sample","string",NA,"basic","asIs","Y",""
"sls_metagenomicsPooling","genomicsSampleCode","Barcode of a genomics sample","string",NA,"basic","asIs","Y",""
"sls_metagenomicsPooling","sampleCondition","Condition of a sample","string",NA,"basic","LOV","N","sls.geneticSampleCondition"
"sls_metagenomicsPooling","processedBy","An identifier for the technician who processed the sample(s)","string",NA,"basic","asIs","N",""
"sls_metagenomicsPooling","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"sls_metagenomicsPooling","genomicsDataQF","Quality flag for genomics sample","string",NA,"basic","asIs","N",""
"sls_metagenomicsPooling","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"sls_metagenomicsPooling","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"sls_soilChemistry","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"sls_soilChemistry","analysisDate","Date that the sample was analyzed","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"sls_soilChemistry","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"sls_soilChemistry","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"sls_soilChemistry","siteID","NEON site code","string",NA,"basic","asIs","N",""
"sls_soilChemistry","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"sls_soilChemistry","plotType","NEON plot type in which sampling occurred: tower, distributed or gradient","string",NA,"basic","asIs","N",""
"sls_soilChemistry","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"sls_soilChemistry","sampleID","Identifier for sample","string",NA,"basic","asIs","N",""
"sls_soilChemistry","sampleCode","Barcode of a sample","string",NA,"basic","asIs","N",""
"sls_soilChemistry","cnSampleID","Identifier for a carbon-nitrogen sample","string",NA,"basic","asIs","Y",""
"sls_soilChemistry","cnSampleCode","Barcode of a carbon-nitrogen sample","string",NA,"basic","asIs","Y",""
"sls_soilChemistry","sampleType","Type of sample","string",NA,"basic","LOV","N","bgc.sampleType"
"sls_soilChemistry","acidTreatment","Indicator for whether a sample has been acidified to remove carbonate prior to analysis","string",NA,"basic","LOV","Y","Yes or No choice"
"sls_soilChemistry","co2Trapped","Indicator for whether carbon dioxide was trapped prior to analysis; used for measuring nitrogen in high C:N samples","string",NA,"basic","LOV","Y","Yes or No choice"
"sls_soilChemistry","d15N","Measure of the ratio of 15N:14N in a sample, relative to atmospheric N2","real","permill","basic","*.#(round)","N",""
"sls_soilChemistry","organicd13C","Measure of the ratio of 13C:12C in soil organic carbon, relative to Vienna Pee Dee Belemnite","real","permill","basic","*.#(round)","N",""
"sls_soilChemistry","nitrogenPercent","Percent nitrogen in a sample on a dry weight basis","real","percent","basic","*.##(round)","N",""
"sls_soilChemistry","organicCPercent","Percent organic carbon in a sample on a dry weight basis","real","percent","basic","*.##(round)","N",""
"sls_soilChemistry","CNratio","Ratio of carbon to nitrogen concentration in a sample on a dry weight basis","real",NA,"basic","*.#(round)","N",""
"sls_soilChemistry","cnIsotopeQF","Quality flag for stable isotope values outside the calibration range","string",NA,"basic","LOV","N","bgc.cnIsotopeQF"
"sls_soilChemistry","cnPercentQF","Quality flag for concentration values outside the calibration range","string",NA,"basic","LOV","N","bgc.cnPercentQF"
"sls_soilChemistry","isotopeAccuracyQF","Quality flag for accuracy of stable isotope values of QA materials associated with the run","string",NA,"basic","LOV","N","bgc.isotopeAccuracyQF"
"sls_soilChemistry","percentAccuracyQF","Quality flag for accuracy of percent concentration values of QA materials associated with the run","string",NA,"basic","LOV","N","bgc.percentAccuracyQF"
"sls_soilChemistry","analyticalRepNumber","Number of the analytical replicate","unsigned integer","number","basic","integer","Y",""
"sls_soilChemistry","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"sls_soilChemistry","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"basic","asIs","N",""
"sls_soilChemistry","testMethod","Method used to conduct test","string",NA,"basic","asIs","N",""
"sls_soilChemistry","instrument","Type of instrument used for the analysis","string",NA,"basic","asIs","N",""
"sls_soilChemistry","analyzedBy","Name of lab personnel analyzing sample","string",NA,"basic","obfuscate","N",""
"sls_soilChemistry","reviewedBy","Name of lab personnel who reviewed the data prior to submission","string",NA,"basic","obfuscate","N",""
"sls_soilChemistry","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"sls_soilChemistry","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"sls_soilChemistry","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"sls_soilCoreCollection","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","siteID","NEON site code","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","plotType","NEON plot type in which sampling occurred: tower, distributed or gradient","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","nlcdClass","National Land Cover Database Vegetation Type Name","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","subplotID","Identifier for the NEON subplot","string",NA,"basic","LOV","N","sls.subplotID"
"sls_soilCoreCollection","coreCoordinateX","x location of the soil core relative to the SW corner","real","meter","basic","*.#(round)","N",""
"sls_soilCoreCollection","coreCoordinateY","y location of the soil core relative to the SW corner","real","meter","basic","*.#(round)","N",""
"sls_soilCoreCollection","geodeticDatum","Model used to measure horizontal position on the earth","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","decimalLatitude","The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",""
"sls_soilCoreCollection","decimalLongitude","The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",""
"sls_soilCoreCollection","coordinateUncertainty","The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term","real","meter","basic","*.#(round)","N",""
"sls_soilCoreCollection","elevation","Elevation (in meters) above sea level","real","meter","basic","*.#(round)","N",""
"sls_soilCoreCollection","elevationUncertainty","Uncertainty in elevation values (in meters)","real","meter","basic","*.##(round)","N",""
"sls_soilCoreCollection","samplingProtocolVersion","The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","LOV","N","sls.samplingProtocolVersion"
"sls_soilCoreCollection","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"sls_soilCoreCollection","sampleTiming","Timing of the sampling event with regard to the field season","string",NA,"basic","LOV","N","sls.sampleTiming"
"sls_soilCoreCollection","biophysicalCriteria","An indicator of whether sampling coincided with the intended biophysical conditions","string",NA,"basic","LOV","N","biophysicalCriteria"
"sls_soilCoreCollection","eventID","An identifier for the set of information associated with the event, which includes information about the place and time of the event","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","standingWaterDepth","Depth of standing water present at a sampling location","real","centimeter","basic","*.#(round)","N",""
"sls_soilCoreCollection","nTransBoutType","Category of bout in relation to nitrogen transformation sample collection","string",NA,"basic","LOV","N","sls.nTransBout"
"sls_soilCoreCollection","boutType","Type of analyses that will be conducted on samples collected during the bout","string",NA,"basic","LOV","N","sls.boutType"
"sls_soilCoreCollection","samplingImpractical","Samples and/or measurements were not collected due to the indicated circumstance","string",NA,"basic","LOV","N","samplingImpractical"
"sls_soilCoreCollection","incubationMethod","Method used for soil incubation","string",NA,"basic","LOV","N","sls.incubationMethod"
"sls_soilCoreCollection","incubationCondition","Condition of incubated nitrogen transformation sample upon retrieval","string",NA,"basic","LOV","N","sls.incubationCondition"
"sls_soilCoreCollection","sampleID","Identifier for sample","string",NA,"basic","asIs","Y",""
"sls_soilCoreCollection","sampleCode","Barcode of a sample","string",NA,"basic","asIs","Y",""
"sls_soilCoreCollection","toxicodendronPossible","Indicator for whether a sample may contain Toxicodendron spp","string",NA,"basic","LOV","N","cfc.toxicodendron"
"sls_soilCoreCollection","horizon","Organic or mineral soil","string",NA,"basic","LOV","N","sls.horizon"
"sls_soilCoreCollection","horizonDetails","Qualifier for soil horizon designation","string",NA,"basic","LOV","N","sls.horizonDetails"
"sls_soilCoreCollection","soilTemp","In-situ temperature of soil at approximately 10 cm depth","real","degree","basic","*.#(round)","N",""
"sls_soilCoreCollection","litterDepth","Depth of litter layer","real","centimeter","basic","*.#(round)","N",""
"sls_soilCoreCollection","sampleTopDepth","Depth below the soil surface of the top of a soil sample","real","centimeter","basic","*.#(round)","N",""
"sls_soilCoreCollection","sampleBottomDepth","Depth below the soil surface of the bottom of a soil sample","real","centimeter","basic","*.#(round)","N",""
"sls_soilCoreCollection","sampleExtent","Extent of the soil sample relative to the local soil horizon conditions","string",NA,"basic","LOV","N","sls.sampleExtent"
"sls_soilCoreCollection","soilSamplingDevice","Type of soil collection device used for sampling","string",NA,"basic","LOV","N","sls.soilSamplingDevice"
"sls_soilCoreCollection","soilCoreCount","Number of soil cores combined per sample","unsigned integer","number","basic","integer","N",""
"sls_soilCoreCollection","geneticSampleID","Identifier for the genetic sample","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","geneticSampleCode","Barcode of a genetic sample","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","geneticSampleCondition","Condition of genetic sample storage or processing","string",NA,"basic","LOV","N","sls.geneticSampleCondition"
"sls_soilCoreCollection","geneticSamplePrepMethod","Preparation or preservation method for a genetic sample","string",NA,"basic","LOV","N","sls.geneticPreparation"
"sls_soilCoreCollection","geneticArchiveSample1ID","Identifier for genetic archive subsample 1","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","geneticArchiveSample1Code","Barcode of genetic archive subsample 1","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","geneticArchiveSample2ID","Identifier for genetic archive subsample 2","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","geneticArchiveSample2Code","Barcode of genetic archive subsample 2","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","geneticArchiveSample3ID","Identifier for genetic archive subsample 3","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","geneticArchiveSample3Code","Barcode of genetic archive subsample 3","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","geneticArchiveSample4ID","Identifier for genetic archive subsample 4","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","geneticArchiveSample4Code","Barcode of genetic archive subsample 4","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","geneticArchiveSample5ID","Identifier for genetic archive subsample 5","string",NA,"basic","asIs","N",""
