name,pubCode,description,startDate,endDate
"bgc.percentAccuracyQF","OK","observed values of run QA material fall within acceptance criteria for percent concentration",2012-01-01T00:00:00Z,
"bgc.percentAccuracyQF","percent N run QA criteria not met","observed values of run QA material do not meet acceptance criteria for percent nitrogen",2012-01-01T00:00:00Z,
"bgc.percentAccuracyQF","percent C run QA criteria not met","observed values of run QA material do not meet acceptance criteria for percent carbon",2012-01-01T00:00:00Z,
"bgc.percentAccuracyQF","percent C and N run QA criteria not met","observed values of run QA material do not meet acceptance criteria for percent nitrogen or carbon",2012-01-01T00:00:00Z,
"bgc.sampleType","vegetation","Indicator that vegetation is being measured",2012-01-01T00:00:00Z,
"bgc.sampleType","soil","Indicator that soil is being measured",2012-01-01T00:00:00Z,
"biophysicalCriteria","OK - no known exceptions","Sampling occurred on schedule, no known issues",2012-01-01T00:00:00Z,
"biophysicalCriteria","OK - schedule change but conditions met","Sampling occurred not within defined sampling window but reflects the target biophysical conditions",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met","Sampling does not reflect the target biophysical conditions",2012-01-01T00:00:00Z,
"biophysicalCriteria","other","Other potential sample timing inconsistencies described in the remarks",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: most plants senesced","Sampling does not reflect the target biophysical conditions, most plants senesced",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: most plants not yet flowering","Sampling does not reflect the target biophysical conditions, most plants not yet in flower",2012-01-01T00:00:00Z,
"biophysicalCriteria","unknown - logistical","Sampling not possible due to logistical considerations",2012-01-01T00:00:00Z,
"biophysicalCriteria","drought conditions","Sampling does not reflect the target biophysical conditions, abundance and composition of flora is drought compromised",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: drought conditions","Sampling does not reflect the target biophysical conditions, abundance and composition of flora is drought compromised",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met - no photo taken","Conditions at photo point do not support image collection (e.g., localized flooding)",2012-01-01T00:00:00Z,
"biophysicalCriteria","date outside peak green","Sample collected outside of prescribed peak green window",2012-01-01T00:00:00Z,
"cfc.toxicodendron","Y","Sample may contain Toxicodendron spp",2012-01-01T00:00:00Z,
"cfc.toxicodendron","N","Sample does not contain Toxicodendron spp",2012-01-01T00:00:00Z,
"ntr.ammoniumNQF","OK","No issues to report",2012-01-01T00:00:00Z,
"ntr.ammoniumNQF","below method detection limit","Sample ammonium N concentration below the minimum detection limit",2012-01-01T00:00:00Z,
"ntr.ammoniumNQF","blank value outlier","Blank value flagged an an outlier",2012-01-01T00:00:00Z,
"ntr.ammoniumNQF","blanks exceed sample value","Mean concentration value of the three blanks extracted with the sample is higher than the observed sample concentration",2012-01-01T00:00:00Z,
"ntr.ammoniumNQF","other","Other issue, described in remarks",2012-01-01T00:00:00Z,
"ntr.analyte","NH4-N","Measurement of ammonium N",2012-01-01T00:00:00Z,
"ntr.analyte","NO3+NO2-N","Measurement of nitrate + nitrite N",2012-01-01T00:00:00Z,
"ntr.analyteUnits","milligramsPerLiter","Unit of measurement is milligrams per liter",2012-01-01T00:00:00Z,
"ntr.labSampleCondition","ok","Sample maintained frozen until analysis, no issue to report",2012-01-01T00:00:00Z,
"ntr.labSampleCondition","thawed but cold","Sample thawed but stayed cold prior to analysis",2012-01-01T00:00:00Z,
"ntr.labSampleCondition","thawed and warm","Sample thawed and warmed prior to analysis",2012-01-01T00:00:00Z,
"ntr.labSampleCondition","leaked","Sample leaked prior to analysis",2012-01-01T00:00:00Z,
"ntr.labSampleCondition","thawed but cold","Sample thawed but stayed cold prior to analysis",2012-01-01T00:00:00Z,
"ntr.labSampleCondition","thawed and warm","Sample thawed and warmed prior to analysis",2012-01-01T00:00:00Z,
"ntr.labSampleCondition","leaked","Sample leaked prior to analysis",2012-01-01T00:00:00Z,
"ntr.labSampleCondition","other","Other issue, typically noted in remarks",2012-01-01T00:00:00Z,
"ntr.nitrateNitriteNQF","OK","No issues to report",2012-01-01T00:00:00Z,
"ntr.nitrateNitriteNQF","below method detection limit","Sample nitrate + nitrite N concentration below the minimum detection limit",2012-01-01T00:00:00Z,
"ntr.nitrateNitriteNQF","blank value outlier","Blank value flagged an an outlier",2012-01-01T00:00:00Z,
"ntr.nitrateNitriteNQF","blanks exceed sample value","Mean concentration value of the three blanks extracted with the sample is higher than the observed sample concentration",2012-01-01T00:00:00Z,
"ntr.nitrateNitriteNQF","other","Other issue, described in remarks",2012-01-01T00:00:00Z,
"ntr.sampleCondition","OK","Sample condition OK",2012-01-01T00:00:00Z,
"ntr.sampleCondition","soil stored at incorrect temperature","Soil stored at incorrect temperature",2012-01-01T00:00:00Z,
"ntr.sampleCondition","sample cup leaked during extraction","Sample cup leaked during extraction",2012-01-01T00:00:00Z,
"ntr.sampleCondition","extract stored at incorrect temperature","Extract stored at incorrect temperature",2012-01-01T00:00:00Z,
"ntr.sampleCondition","extract thawed but cold","Extract thawed but cold",2021-09-01T00:00:00Z,
"ntr.sampleCondition","extract thawed and warm","Extract thawed and warm",2021-09-01T00:00:00Z,
"ntr.sampleCondition","other","Other (specified in remarks)",2012-01-01T00:00:00Z,
"ntr.sampleCondition","mass uncertain","Mass of soil used for extraction is approximate",2012-01-01T00:00:00Z,
"ntr.sampleCondition","volume uncertain","Volume of potassium chloride used for extraction is approximate",2012-01-01T00:00:00Z,
"ntr.sampleType","water","Analyte dissolved in water",2012-01-01T00:00:00Z,
"ntr.sampleType","KCl","Analyte dissolved in potassium chloride",2012-01-01T00:00:00Z,
"samplingImpractical","location dry","location dry",2012-01-01T00:00:00Z,
"samplingImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,
"samplingImpractical","location snow covered","location snow covered",2012-01-01T00:00:00Z,
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01T00:00:00Z,
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01T00:00:00Z,
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01T00:00:00Z,
"samplingImpractical","high water velocity","high water velocity",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01T00:00:00Z,
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,
"samplingImpractical","management","management",2012-01-01T00:00:00Z,
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,
"samplingImpractical","not all samples collected on this date","not all samples collected on this date",2012-01-01T00:00:00Z,
"samplingImpractical","exclosure cell not clipped, livestock absent","exclosure clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","ambient cell not clipped, livestock absent","ambient clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","wildfire","sampling location inaccessible due to active wildfire or post fire safety hazards",2012-01-01T00:00:00Z,
"samplingImpractical","wildlife hazard","wildlife hazard, specific hazard described in remarks",2012-01-01T00:00:00Z,
"samplingImpractical","outside target flow range","selected when stream flow already has good coverage and specific flows are being targeted",2022-03-01T00:00:00Z,
"samplingImpractical","safety hazard","unsafe conditions at sampling location or on route to sampling location",2012-01-01T00:00:00Z,
"sls.boutType","biogeochemistry","Biogeochemistry sampling",2012-01-01T00:00:00Z,
"sls.boutType","microbes","Microbe sampling",2012-01-01T00:00:00Z,
"sls.boutType","microbesBGC","Microbe and biogeochemistry sampling",2012-01-01T00:00:00Z,
"sls.boutType","microbesBiomass","Microbes and biomass sampling",2012-01-01T00:00:00Z,
"sls.boutType","microbesBiomassBGC","Microbes, biomass, and biogeochemistry sampling",2012-01-01T00:00:00Z,
"sls.boutType","fieldOnly","Sampling not in conjunction with microbes, biomass or biogeochemistry",2012-01-01T00:00:00Z,
"sls.geneticPreparation","dry ice","Dry ice used to flash-freeze specimen following field collection",2012-01-01T00:00:00Z,
"sls.geneticPreparation","ice packs","Ice packs used to freeze specimen following field collection",2012-01-01T00:00:00Z,
"sls.geneticPreparation","other","Other method used to preserve specimen following field collection",2012-01-01T00:00:00Z,
"sls.geneticSampleCondition","cold chain broken","Cold chain broken",2012-01-01T00:00:00Z,
"sls.geneticSampleCondition","OK","Sample condition OK",2012-01-01T00:00:00Z,
"sls.geneticSampleCondition","other","Other",2012-01-01T00:00:00Z,
"sls.horizon","O","Soil core collected from the organic horizon",2012-01-01T00:00:00Z,
"sls.horizon","M","Soil core collected from the mineral horizon",2012-01-01T00:00:00Z,
"sls.horizonDetails","OK","OK, no inconsistencies",2012-01-01T00:00:00Z,
"sls.horizonDetails","Thin O horizon present","Thin O horizon present",2012-01-01T00:00:00Z,
"sls.horizonDetails","Thin M horizon present","Thin M horizon present",2012-01-01T00:00:00Z,
"sls.horizonDetails","Horizon indeterminate","Soil horizon was mis-classified or could not be accurately classified in the field",2012-01-01T00:00:00Z,
"sls.horizonDetails","Water table encountered","Water table was encountered when sampling horizon",2012-01-01T00:00:00Z,
"sls.horizonDetails","other","Horizon not fitting Protocol definitions due to other reason described in the remarks",2012-01-01T00:00:00Z,
"sls.horizonDetails","Mature biological soil crust present","Mature biological soil crust was present and homogenized in to the soil sample",2012-01-01T00:00:00Z,
"sls.incubationCondition","OK","Incubation condition as expected, no issues to report",2012-01-01T00:00:00Z,
"sls.incubationCondition","cap missing","Cap was removed and core found uncovered",2012-01-01T00:00:00Z,
"sls.incubationCondition","disturbed by animal, sitting on surface","Core or bag was distrubed by an animal and moved from in-situ location to soil surface",2012-01-01T00:00:00Z,
"sls.incubationCondition","other","Other, with details explained in remarks",2012-01-01T00:00:00Z,
"sls.incubationCondition","borehole had water","Water was present in the borehole when cylinder was removed",2017-01-01T00:00:00Z,
"sls.incubationCondition","buried bag had water","Buried bag contained excess water upon retrieval, suggesting leak or bad seal",2017-01-01T00:00:00Z,
"sls.incubationCondition","animal chewed hole in bag","Animal or insect chewed a small hole in the bag",2017-01-01T00:00:00Z,
"sls.incubationCondition","incomplete sample recovery","Incomplete soil material recovered, most common when soil falls out of the core upon retrieval",2017-01-01T00:00:00Z,
"sls.incubationCondition","sample destroyed, not saved","Sample destroyed during incubation, not saved or processed",2017-01-01T00:00:00Z,
"sls.incubationCondition","sample not found","Sample not found following incubation",2017-01-01T00:00:00Z,
"sls.incubationMethod","no incubation","No incubation was conducted",2012-01-01T00:00:00Z,
"sls.incubationMethod","covered core","Sample incubation with covered core method",2012-01-01T00:00:00Z,
"sls.incubationMethod","buried bag","Sample incubation with buried bag method",2012-01-01T00:00:00Z,
"sls.moistureCondition","OK","sample condition OK",2012-01-01T00:00:00Z,
"sls.moistureCondition","tin spilled","tin spilled during processing, adds uncertainty to moisture value",2012-01-01T00:00:00Z,
"sls.moistureCondition","tin lost","tin lost during processing, no moisture data available",2012-01-01T00:00:00Z,
"sls.moistureCondition","used sieved soil","used sieved soil although protocol specifies unsieved, low impact to moisture values",2012-01-01T00:00:00Z,
"sls.moistureCondition","sampleID uncertain","possible sampleID mix-up, other potential sampleID is specified in remarks",2012-01-01T00:00:00Z,
"sls.moistureCondition","other","other issue with more detail in remarks",2012-01-01T00:00:00Z,
"sls.nTransBout","tInitial","Collection of initial N transformation core",2012-01-01T00:00:00Z,
"sls.nTransBout","tFinal","Collection of incubated N transformation core",2012-01-01T00:00:00Z,
"sls.nTransBout","No","No N transformation sample collection",2012-01-01T00:00:00Z,
"sls.sampleCondition","oven temperature out of range","Oven temperature used for sample processing out of the acceptable range",2012-01-01T00:00:00Z,
"sls.sampleCondition","storage temperature out of range","Sample storage temperature out of the acceptable range",2012-01-01T00:00:00Z,
"sls.sampleCondition","OK","Sample condition OK",2012-01-01T00:00:00Z,
"sls.sampleExtent","entire","Sample represents the full extent of the sampled horizon",2012-01-01T00:00:00Z,
"sls.sampleExtent","obstruction","Sample extends to an obstruction such as a rock or large root",2012-01-01T00:00:00Z,
"sls.sampleExtent","maximum","Sample collected to the maximum depth defined in the protocol",2012-01-01T00:00:00Z,
"sls.sampleExtent","other","Other",2012-01-01T00:00:00Z,
"sls.sampleTiming","wetDryTransition","Transition from wet to dry season",2012-01-01T00:00:00Z,
"sls.sampleTiming","winterSpringTransition","Transition from winter to spring season",2012-01-01T00:00:00Z,
"sls.sampleTiming","peakGreenness","Summer/peak greenness sampling",2012-01-01T00:00:00Z,
"sls.sampleTiming","dryWetTransition","Transition from dry to wet season",2012-01-01T00:00:00Z,
"sls.sampleTiming","fallWinterTransition","Transition from fall to winter season",2012-01-01T00:00:00Z,
"sls.sampleTiming","drySeason","Dry season",2012-01-01T00:00:00Z,
"sls.sampleTiming","other","Season not represented in options list",2012-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vC","NEON.DOC.014048vC",2012-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vD","NEON.DOC.014048vD",2012-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vE","NEON.DOC.014048vE",2012-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vF","NEON.DOC.014048vF",2012-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vG","NEON.DOC.014048vG",2012-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vB","NEON.DOC.014048vB",2012-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vH","NEON.DOC.014048vH",2012-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vJ","NEON.DOC.014048vJ",2012-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vK","NEON.DOC.014048vK",2012-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.004130vA","NEON.DOC.004130vA",2012-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.004130vC","NEON.DOC.004130vC",2012-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vL","NEON.DOC.014048vL",2019-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.004130vD","NEON.DOC.004130vD",2019-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vM","NEON.DOC.014048vM",2019-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.004130vE","NEON.DOC.004130vE",2019-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vN","NEON.DOC.014048vN",2019-01-01T00:00:00Z,
"sls.samplingProtocolVersion","NEON.DOC.014048vO","NEON.DOC.014048vO",2022-01-01T00:00:00Z,
"sls.soilSamplingDevice","auger","Soil auger used to obtain the sample",2012-01-01T00:00:00Z,
"sls.soilSamplingDevice","probe","Soil probe used to obtain the sample",2012-01-01T00:00:00Z,
"sls.soilSamplingDevice","corer","Soil corer used to obtain the sample",2012-01-01T00:00:00Z,
"sls.soilSamplingDevice","trowl","Trowel used to obtain the sample",2012-01-01T00:00:00Z,
"sls.soilSamplingDevice","bulb corer","Bulb corer auger used to obtain the sample",2012-01-01T00:00:00Z,
"sls.soilSamplingDevice","brownie cutter","10 cm square frame",2012-01-01T00:00:00Z,
"sls.soilSamplingDevice","sediment sampler","coring device specifically designed for sampling sediment",2012-01-01T00:00:00Z,
"sls.soilSamplingDevice","PVC tube","PVC tube",2012-01-01T00:00:00Z,
"sls.soilSamplingDevice","other","Other device used to obtain the sample",2012-01-01T00:00:00Z,
"sls.subplotID","21","Subplot named according to pointID of the southwest corner",2012-11-01T00:00:00Z,
"sls.subplotID","23","Subplot named according to pointID of the southwest corner",2012-11-01T00:00:00Z,
"sls.subplotID","39","Subplot named according to pointID of the southwest corner",2012-11-01T00:00:00Z,
"sls.subplotID","41","Subplot named according to pointID of the southwest corner",2012-11-01T00:00:00Z,
"Yes or No choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes or No choice","N","No",2012-01-01T00:00:00Z,
